Symbol,Name,Time
A,Agilent Technologies,7/17/2024
AAL,American Airlines Gp,7/17/2024
AAPL,Apple Inc,7/17/2024
ABBV,Abbvie Inc,7/17/2024
ABNB,Airbnb Inc Cl A,7/17/2024
ABT,Abbott Laboratories,7/17/2024
ACGL,Arch Capital Grp Ltd,7/17/2024
ACN,Accenture Plc,7/17/2024
ADBE,Adobe Systems Inc,7/17/2024
ADI,Analog Devices,7/17/2024
ADM,Archer Daniels Midland,7/17/2024
ADP,Automatic Data Procs,7/17/2024
ADSK,Autodesk Inc,7/17/2024
AEE,Ameren Corp,7/17/2024
AEP,American Electric Power Company,7/17/2024
AES,The Aes Corp,7/17/2024
AFL,Aflac Inc,7/17/2024
AIG,American International Group,7/17/2024
AIZ,Assurant Inc,7/17/2024
AJG,Arthur J. Gallagher & Company,7/17/2024
AKAM,Akamai Technologies,7/17/2024
ALB,Albemarle Corp,7/17/2024
ALGN,Align Technology,7/17/2024
ALL,Allstate Corp,7/17/2024
ALLE,Allegion Plc,7/17/2024
AMAT,Applied Materials,7/17/2024
AMCR,Amcor Plc,7/17/2024
AMD,Adv Micro Devices,7/17/2024
AME,Ametek Inc,7/17/2024
AMGN,Amgen Inc,7/17/2024
AMP,Ameriprise Financial Services,7/17/2024
AMT,American Tower Corp,7/17/2024
AMZN,Amazon.com Inc,7/17/2024
ANET,Arista Networks Inc,7/17/2024
ANSS,Ansys Inc,7/17/2024
AON,AON Plc,7/17/2024
AOS,Smith A.O. Corp,7/17/2024
APA,Apa Corp,7/17/2024
APD,Air Products and Chemicals,7/17/2024
APH,Amphenol Corp,7/17/2024
APTV,Aptiv Plc,7/17/2024
ARE,Alexandria Real Estate Equities,7/17/2024
ATO,Atmos Energy Corp,7/17/2024
AVB,Avalonbay Communities,7/17/2024
AVGO,Broadcom Ltd,7/17/2024
AVY,Avery Dennison Corp,7/17/2024
AWK,American Water Works,7/17/2024
AXON,Axon Enterprise Inc,7/17/2024
AXP,American Express Company,7/17/2024
AZO,Autozone,7/17/2024
BA,Boeing Company,7/17/2024
BAC,Bank of America Corp,7/17/2024
BALL,Ball Corporation,7/17/2024
BAX,Baxter International Inc,7/17/2024
BBWI,Bath & Body Works Inc,7/17/2024
BBY,Best Buy Company,7/17/2024
BDX,Becton Dickinson and Company,7/17/2024
BEN,Franklin Resources,7/17/2024
BF.B,Brown Forman Inc Cl B,7/17/2024
BG,Bunge Ltd,7/17/2024
BIIB,Biogen Inc,7/17/2024
BIO,Bio-Rad Laboratories,7/17/2024
BK,Bank of New York Mellon Corp,7/17/2024
BKNG,Booking Holdings Inc,7/17/2024
BKR,Baker Hughes Company,7/17/2024
BLDR,Builders Firstsource,7/17/2024
BLK,Blackrock Inc,7/17/2024
BMY,Bristol-Myers Squibb Company,7/17/2024
BR,Broadridge Financial Solutions Llc,7/17/2024
BRK.B,Berkshire Hathaway Cl B,7/17/2024
BRO,Brown & Brown,7/17/2024
BSX,Boston Scientific Corp,7/17/2024
BWA,Borgwarner Inc,7/17/2024
BX,Blackstone Inc,7/17/2024
BXP,Bxp Inc,7/17/2024
C,Citigroup Inc,7/17/2024
CAG,Conagra Brands Inc,7/17/2024
CAH,Cardinal Health,7/17/2024
CARR,Carrier Global Corp,7/17/2024
CAT,Caterpillar Inc,7/17/2024
CB,Chubb Ltd,7/17/2024
CBOE,CBOE Global Markets Inc,7/17/2024
CBRE,CBRE Group Inc,7/17/2024
CCI,Crown Castle Inc,7/17/2024
CCL,Carnival Corp,7/17/2024
CDNS,Cadence Design Sys,7/17/2024
CDW,CDW Corp,7/17/2024
CE,Celanese Corp,7/17/2024
CEG,Constellation Energy Corp,7/17/2024
CF,Cf Industries Holdings,7/17/2024
CFG,Citizens Financial Group Inc/Ri,7/17/2024
CHD,Church & Dwight Company,7/17/2024
CHRW,C.H. Robinson Ww,7/17/2024
CHTR,Charter Communications Inc,7/17/2024
CI,The Cigna Group,7/17/2024
CINF,Cincinnati Financial,7/17/2024
CL,Colgate-Palmolive Company,7/17/2024
CLX,Clorox Company,7/17/2024
CMCSA,Comcast Corp A,7/17/2024
CME,CME Group Inc,7/17/2024
CMG,Chipotle Mexican Grill,7/17/2024
CMI,Cummins Inc,7/17/2024
CMS,Cms Energy Corp,7/17/2024
CNC,Centene Corp,7/17/2024
CNP,Centerpoint Energy Inc,7/17/2024
COF,Capital One Financial Corp,7/17/2024
COO,Cooper Companies,7/17/2024
COP,Conocophillips,7/17/2024
COR,Cencora Inc,7/17/2024
COST,Costco Wholesale,7/17/2024
CPAY,Corpay Inc,7/17/2024
CPB,Campbell Soup Company,7/17/2024
CPRT,Copart Inc,7/17/2024
CPT,Camden Property Trust,7/17/2024
CRL,Charles River Laboratories Intl,7/17/2024
CRM,Salesforce Inc,7/17/2024
CRWD,Crowdstrike Holdings Inc,7/17/2024
CSCO,Cisco Systems Inc,7/17/2024
CSGP,Costar Group Inc,7/17/2024
CSX,CSX Corp,7/17/2024
CTAS,Cintas Corp,7/17/2024
